Year,Position,Number,Draw,Name,Days-since-last-run,Previous-performances,Course-winner,Distance-winner,Odds(decimal),Form,Num-of-wins-in-last-3-starts,Result-last-start,Placed-Last-Time-Out,Won-Last-Time-Out,Age,Weight(pounds),Rating,Trainer,Jockey,Distances(lenghts),Going,Profitable
2014,13,20,8,Tapestry (IRE),22,D,No,Yes,15,206219,1,9,No,No,3,120,122,A P O'Brien,R L Moore,,Good,0
2014,14,6,2,Gold Ship (JPN),42,D,No,Yes,13,31712,1,2,Yes,No,5,131,,N Sugai,N Yokoyama,,Good,0
2014,15,9,18,Chicquita (IRE),21,D,No,Yes,41,3212,1,2,Yes,No,4,128,115,A P O'Brien,Joseph O'Brien,,Good,0
2014,16,5,13,Spiritjim (FR),21,C,Yes,No,67,11113,2,3,Yes,No,4,131,,P Bary,S Pasquier,,Good,0
2014,17,11,10,Ectot,21,C,Yes,No,7,111111,3,1,Yes,Yes,3,123,,E Lellouche,Gregory Benoist,,Good,0
2014,18,4,19,Ivanhowe (GER),28,D,No,Yes,26,118161,2,1,Yes,Yes,4,131,,J Carvalho,W Buick,,Good,0
2014,19,15,17,Free Port Lux,15,C,Yes,No,101,210421,1,1,Yes,Yes,3,123,,F Head,M Barzalona,,Good,0
2014,20,12,11,Montviron (FR),102,C,Yes,No,201,3315,1,5,No,No,3,123,,E Lellouche,C Stefan,,Good,0
2013,1,8,3,Treve (FR),21,BF,No,No,12,111234,0,4,No,No,4,128,130,Mme C Head-Maarek,T Jarnet,0,Soft,1
2013,2,1,4,Flintshire,21,BF,No,No,17,148242,0,2,Yes,No,4,131,119,A Fabre,M Guyon,,Soft,1
2013,3,18,15,Taghrooda,45,BF,No,No,5.5,11112,2,2,Yes,No,3,120,124,J & T Gosden,P Hanagan,,Soft,1
2013,4,14,20,Kingston Hill,22,,No,No,26,118241,1,1,Yes,Yes,3,123,120,R Varian,Andrea Atzeni,,Soft,1
2013,5,17,5,Dolniya (FR),21,D,No,Yes,17,21113,2,3,Yes,No,3,120,,A de Royer-Dupre,C Soumillon,,Soft,1
2013,6,19,12,Harp Star (JPN),42,,No,No,9,121121,2,1,Yes,Yes,3,120,,H Matsuda,Yuga Kawada,,Soft,1
2013,7,13,9,Prince Gibraltar (FR),51,,No,No,29,111323,0,3,Yes,No,3,123,,J C Rouget,J B Eyquem,,Soft,0
2013,8,7,14,Just A Way (JPN),119,,No,No,8,221111,3,1,Yes,Yes,5,131,,N Sugai,Y Fukunaga,,Soft,0
2013,9,2,6,Ruler Of The World (IRE),21,D,No,Yes,13,527301,1,1,Yes,Yes,4,131,122,A P O'Brien,L Dettori,,Soft,0
2013,10,3,7,Al Kazeem,22,D,No,Yes,67,326415,1,5,No,No,6,131,115,R Charlton,James Doyle,,Soft,0
2013,11,16,1,Avenir Certain (FR),47,C,Yes,No,9,111111,3,1,Yes,Yes,3,120,,J C Rouget,C P Lemaire,,Soft,0
2013,12,10,16,Siljan's Saga (FR),21,D,No,Yes,101,543127,1,7,No,No,4,128,,J P Gauvin,P C Boudot,,Soft,0
2013,13,20,8,Tapestry (IRE),22,D,No,Yes,15,206219,1,9,No,No,3,120,122,A P O'Brien,R L Moore,,Soft,0
2013,14,6,2,Gold Ship (JPN),42,D,No,Yes,13,31712,1,2,Yes,No,5,131,,N Sugai,N Yokoyama,,Soft,0
2013,15,9,18,Chicquita (IRE),21,D,No,Yes,41,3212,1,2,Yes,No,4,128,115,A P O'Brien,Joseph O'Brien,,Soft,0
2013,16,5,13,Spiritjim (FR),21,C,Yes,No,67,11113,2,3,Yes,No,4,131,,P Bary,S Pasquier,,Soft,0
2013,17,11,10,Ectot,21,C,Yes,No,7,111111,3,1,Yes,Yes,3,123,,E Lellouche,Gregory Benoist,,Soft,0
2013,18,4,19,Ivanhowe (GER),28,D,No,Yes,26,118161,2,1,Yes,Yes,4,131,,J Carvalho,W Buick,,Soft,0
2013,19,15,17,Free Port Lux,15,C,Yes,No,101,210421,1,1,Yes,Yes,3,123,,F Head,M Barzalona,,Soft,0
2013,20,12,11,Montviron (FR),102,C,Yes,No,201,3315,1,5,No,No,3,123,,E Lellouche,C Stefan,,Soft,0
2012,1,10,6,Solemia (IRE),21,D,No,Yes,34,212143,1,3,Yes,No,4,128,,C Laffon-Parias,O Peslier,0,Good to Soft,1
2012,2,6,18,Orfevre (JPN),21,D,No,Yes,6,1,1,1,Yes,Yes,4,131,,Y Ikee,C Soumillon,,Good to Soft,1
2012,3,14,17,Masterstroke (USA),42,C,Yes,No,12,112211,2,1,Yes,Yes,3,123,,A Fabre,M Barzalona,,Good to Soft,1
2012,4,9,1,Haya Landa (FR),29,C,Yes,No,151,282255,0,5,No,No,4,128,,Mme L Audon,F Blondel,,Good to Soft,1
2012,5,1,16,Sea Moon,78,BF,No,No,10,132115,2,5,No,No,4,131,,Sir Michael Stoute,R L Moore,,Good to Soft,1
2012,6,2,10,St Nicholas Abbey (IRE),29,D,No,Yes,15,35,0,5,No,No,5,131,,A P O'Brien,Joseph O'Brien,,Good to Soft,1
2012,7,3,13,Meandre (FR),21,D,No,Yes,21,126212,1,2,Yes,No,4,131,,A Fabre,M Guyon,,Good to Soft,0
2012,8,4,9,Mikhail Glinka (IRE),43,D,No,Yes,101,721921,1,1,Yes,Yes,5,131,,A shavuyev,Mirco Demuro,,Good to Soft,0
2012,9,5,12,Robin Hood (IRE),46,,No,No,501,436008,0,8,No,No,4,131,,A P O'Brien,J A Heffernan,,Good to Soft,0
2012,10,7,8,Aventino (JPN),21,,No,No,251,5,0,5,No,No,8,131,,Y Ikee,A Crastus,,Good to Soft,0
